intent,text
accept_reservations,Is it possible to make a reservation at the restaurant in New York?
accept_reservations,Are reservations accepted at the restaurant located in New York?
accept_reservations,Can one book a table in advance at the restaurant situated in New York?
accept_reservations,Are reservations available at the New York restaurant?
accept_reservations,Can one make a reservation at the restaurant in New York?
accept_reservations,Is it possible to secure a booking at the dining establishment located in New York?
accept_reservations,Is it possible to book a table beforehand at Village Inn?
accept_reservations,Are reservations allowed to be made at Village Inn?
accept_reservations,Can you secure a spot at Village Inn by making a reservation?
accept_reservations,Is it possible to reserve a table in Village Inn?
accept_reservations,Can bookings be made at Village Inn?
accept_reservations,Does Village Inn allow customers to make reservations beforehand?
accept_reservations,Can I reserve a table at Olive Garden? 
accept_reservations,Would it be possible for me to book a table at Olive Garden? 
accept_reservations,Is there any chance that I could make a reservation for a table at Olive Garden?
accept_reservations,Is it possible that I would be allowed to make a table reservation at Olive Garden?
accept_reservations,Would it be likely for me to reserve a table at Olive Garden?
accept_reservations,Do you reckon they'd permit me to book a table at Olive Garden?
accept_reservations,Is it possible to make reservations at Eleven Madison Park?
accept_reservations,Can you book a table at Eleven Madison Park beforehand?
accept_reservations,Does Eleven Madison Park accept reservations?
accept_reservations,Is it possible to make a booking at Eleven Madison Park?
accept_reservations,Can reservations be made for Eleven Madison Park?
accept_reservations,Does Eleven Madison Park accept advance bookings?
accept_reservations,Can anyone inform me about Taco Bell's reservation policy?
accept_reservations,"I'm curious if reservations are accepted at Taco Bell, can someone confirm this for me?"
accept_reservations,Is it possible to reserve a table at Taco Bell? Please let me know.
accept_reservations,Can you confirm if Taco Bell accepts reservations? 
accept_reservations,Is it possible to make a reservation at Taco Bell? 
accept_reservations,"I am curious, does Taco Bell have the option to reserve a table in advance?"
accept_reservations,Is it possible to make a reservation at Bill's House of Chop Suey?
accept_reservations,Can one secure a table in advance at Bill's House of Chop Suey?
accept_reservations,Does Bill's House of Chop Suey have the option for guests to reserve a spot beforehand?
accept_reservations,Are reservations accepted at Bill's House of Chop Suey?
accept_reservations,Does Bill's House of Chop Suey allow for advance bookings?
accept_reservations,Can you make a reservation at Bill's House of Chop Suey?
accept_reservations,Do you know if Taco Bell accepts reservations?
accept_reservations,Is it possible to reserve a spot at Taco Bell?
accept_reservations,Can I secure a reservation at Taco Bell?
accept_reservations,Do you have any clue whether Taco Bell accepts advance bookings?
accept_reservations,Is there any information regarding the possibility of making reservations at Taco Bell?
accept_reservations,Can you tell me if Taco Bell allows customers to reserve tables?
accept_reservations,Can one make a reservation at White Castle?
accept_reservations,Is there an option to reserve a table at White Castle?
accept_reservations,Would it be feasible to book a table ahead of time at White Castle?
accept_reservations,Can one make a reservation at White Castle?
accept_reservations,Is it feasible to book a table at White Castle?
accept_reservations,Would it be possible to secure a dining spot at White Castle?
accept_reservations,Are reservations necessary at Central? 
accept_reservations,Do you know if Central requires reservations?
accept_reservations,Is it mandatory to book reservations at Central?
accept_reservations,Are reservations necessary at Central? 
accept_reservations,Do you know if Central requires reservations? 
accept_reservations,Is it mandatory to make reservations for Central?
accept_reservations,Can you confirm if the New York restaurant accepts reservations?
accept_reservations,Is it possible to reserve a table at the restaurant in New York?
accept_reservations,Would it be possible to secure a booking at the New York restaurant?
accept_reservations,Could you inform me if the dining establishment in New York accepts bookings?
accept_reservations,Is it possible to find out if reservations are allowed at the restaurant situated in New York?
accept_reservations,Would you happen to know whether or not the New York eatery accepts advanced reservations?
are_you_a_bot,Can it be confirmed if this is an automated program? 
are_you_a_bot,Is this system being operated by a machine? 
are_you_a_bot,Is the user of this application a human or an artificial intelligence?
are_you_a_bot,"""Can it be confirmed if this is an automated software?"""
are_you_a_bot,"""Is the entity in question a machine encoded with artificial intelligence?"""
are_you_a_bot,"""Would it be accurate to state that this is an automated program?"""
are_you_a_bot,Are you indeed a living being or is it just a rumor?
are_you_a_bot,Can you confirm whether you're an actual human or not?
are_you_a_bot,Is there any veracity to the claim that you exist as a real person?
are_you_a_bot,Can you confirm that you are a human being?
are_you_a_bot,Are you truly a genuine person?
are_you_a_bot,"Is it accurate to say that you're an actual, living individual?"
are_you_a_bot,Is it true that you are genuinely real?
are_you_a_bot,Can I confirm if you truly exist?
are_you_a_bot,Are you truly tangible and not just a figment of my imagination?
are_you_a_bot,Is it true that you actually exist?
are_you_a_bot,Can you confirm if your existence is genuine?
are_you_a_bot,Do you truly believe that you are not a figment of my imagination?
are_you_a_bot,"""Is your existence authentic?"""
are_you_a_bot,"""Do you truly exist?"""
are_you_a_bot,"""Can I confirm the reality of your being?"""
are_you_a_bot,Do you really exist?
are_you_a_bot,Are you an actual being?
are_you_a_bot,Is it true that you are a tangible entity?
are_you_a_bot,"""Do you identify yourself as a computer or a human?"""
are_you_a_bot,"""Are you simply a machine or a living being?"""
are_you_a_bot,"""Is your existence based on technology or biology?"""
are_you_a_bot,Are you a machine or a person?
are_you_a_bot,Are you an automated program or a flesh and blood organism?
are_you_a_bot,Are you a digital entity or a natural being?
are_you_a_bot,Are you a real person?
are_you_a_bot,Are you of human origin?
are_you_a_bot,Do you possess human attributes?
are_you_a_bot,"""Do you possess the characteristics of a human being?"""
are_you_a_bot,"""Is your identity that of a Homo sapien?"""
are_you_a_bot,"""Are you a representative of the human species?"""
are_you_a_bot,Is the voice I am hearing generated by a computer?
are_you_a_bot,Are you an artificial intelligence program responsiblle for this voice?
are_you_a_bot,Can it be considered that the voice I am currently listening to is created by a machine?
are_you_a_bot,"""Is your voice computer-generated?"""
