intent,text
cooking_recipe,Can you display the procedure to make cookies? 
cooking_recipe,Is it possible for you to teach me how to prepare a batch of biscuits?
cooking_recipe,Do you have any instructions on how to bake some sweet treats?
cooking_recipe,Can you share the method of preparing cookie batter?
cooking_recipe,Could you demonstrate how to make those yummy baked goods with chocolate chips?
cooking_recipe,May I know the steps involved in creating delicious treats that are typically round and sweet?
cooking_recipe,What's the ideal heat setting to make cookies crispy?
cooking_recipe,What should be the temperature reading before putting cookies in the oven?
cooking_recipe,How high should the thermostat be when baking cookies?
cooking_recipe,What is the ideal oven heat to make cookies?
cooking_recipe,How warm should my oven be for baking cookies?
cooking_recipe,What temperature setting is recommended for making cookies in an oven?
cooking_recipe,Can you demonstrate how to create a cookie?
cooking_recipe,Share with me the steps involved in making a cookie.
cooking_recipe,What are the required measures for preparing a homemade cookie?
cooking_recipe,Can you demonstrate how to make a batch of cookies from scratch?
cooking_recipe,Would you mind sharing the steps for baking some yummy cookies at home?
cooking_recipe,Could you guide me through the process of preparing a delicious cookie dish?
cooking_recipe,What is the optimal heat to fry an entire turkey?
cooking_recipe,How can I determine the right frying temperature for a full turkey?
cooking_recipe,What temperature must be set for frying a whole turkey?
cooking_recipe,What is the suitable heat setting for preparing an entire turkey by frying?
cooking_recipe,How can one determine the precise temperature to use when deep-frying a full bird?
cooking_recipe,What's the ideal frying temperature for cooking an intact turkey?
cooking_recipe,What is the ultimate way to prepare meatballs?
cooking_recipe,How can one concoct delectable spheres of minced meat?
cooking_recipe,What is the secret to making mouth-watering balls of ground meat?
cooking_recipe,What are some tips to make delicious meatballs?
cooking_recipe,How can one prepare savory meatballs at home?
cooking_recipe,Which methods can be employed to cook scrumptious meatballs?
cooking_recipe,What temperature should an oven be set to for optimal potato roasting?
cooking_recipe,What is the ideal degree setting for roasting potatoes in an oven?
cooking_recipe,At what heat level does one roast potatoes most effectively in an oven?
cooking_recipe,What temperature should be set on the oven for roasting potatoes perfectly?
cooking_recipe,Which oven heat level can ensure flavorful potatoes after roasting?
cooking_recipe,At what degree should the oven be preheated to cook roasted potatoes evenly?
cooking_recipe,Find ways to prepare a four-cheese omelette.
cooking_recipe,Investigate methods of making a four-cheese omelette.
cooking_recipe,Explore options for crafting a delicious four-cheese omelette.
cooking_recipe,Explore different ways to prepare a fluffy omelet with multiple cheesy flavors.
cooking_recipe,Investigate methods for incorporating four types of cheese into your breakfast omelet.
cooking_recipe,Search for techniques on how to make an egg dish filled with four distinct cheese tastes.
cooking_recipe,"Can you provide a compilation of components for Welsh Rarebit, robot?"
cooking_recipe,"Hey robot, can you grant me a catalog of elements needed for Welsh Rarebit?"
cooking_recipe,"Robot, could you furnish me with a record of what I require to prepare Welsh Rarebit?"
cooking_recipe,"Can you provide a rundown of the components needed for preparing Welsh Rarebit, robot?"
cooking_recipe,"Robot, would you mind jotting down all the necessary stuff required for Welsh Rarebit?"
cooking_recipe,"Would it be possible for you to furnish me with a record of all the elements necessary to make Welsh Rarebit, robot?"
cooking_recipe,How can I prepare that dish?
cooking_recipe,What do I need to do to make that food?
cooking_recipe,Can you tell me the steps to make that meal?
cooking_recipe,I am interested in preparing that dish.
cooking_recipe,My intention is to make that cuisine.
cooking_recipe,The meal has caught my attention and I wish to prepare it.
cooking_recipe,What are some ways I can prepare food?
cooking_recipe,How can I make a dish in the kitchen?
cooking_recipe,What methods exist to create an edible meal?
cooking_recipe,What are the ways to prepare a dish?
cooking_recipe,How do you go about making a delicious meal?
cooking_recipe,Can you share some tips on preparing food?
datetime_query,What is the present hour?
