text,label
what is my upper limit for withdrawals,7
how do I go about ordering more checks?,4
i want to know how can i check my account balance?,9
Tell me the bank's phone number.,0
close my bank,6
What should I do to close my account correctly?,6
What is my highest withdrawal limit?,7
How can I get to the nearest branch?,5
i require the routing number for my bank.,8
I would apprciate you telling me what my withdrawl limit is.,7
How can I find the number to call for my bank?,0
i will be glad if you can tell me How can i order more checks?,4
the bank open time is exactly what?,2
What steps should I do to close the bank account?,6
find the phone number for my bank?,0
who do I contact to get a safety deposit box at my bank?,3
help me with setting up a bank appointment,1
my banks phone number is,0
What's the closing hour of the bank?,2
What is my max withdrawl at one time?,7
how can I arrange to talk to someone at the bank,1
Can you give me directions to the nearest branch?,5
when does the bank open today?,2
what is the phone number to contact my bank?,0
I want a safety deposit box at my bank please,3
how much can I take out,7
who do I contact to get a safe deposit box?,3
I don't want this account anylonger so we should get rid of it.,6
can you check my account balance?,9
"i need to find my routing number, can you help me?",8
"I am out of checks, how do I get more?",4
"Can I order more checks, since I am out of checks?",4
when will the bank close time?,2
I need to know how to set a appointment up at the bank.,1
what is my current balance,9
When does my bank open and close?,2
Do you know my bank hours?,2
I need you to tell be about obtaining a safe deposit box.,3
How much can I withdraw?,7
i would like to make an appointment with some one at the bank,1
How do I reach my bank?,0
What's the bank's number,0
how much money can I take out at one time?,7
i need an appointment with someone at the bank how can i do that,1
How is our routing number found?,8
Tell me how to get to the nearest branch.,5
how much can I get out at once?,7
tell me how much I have,9
information on my bank,0
Can you show me how I check my balance?,9
can you show me my balance?,9
How much money am I allowed to withdraw?,7
please tell me How can i order more checks?,4
"For a safe deposit box, I desire information.",3
Close out bank account,6
Can you tell me the phone number for my bank branch?,0
Get me more checks,4
when can i go to the bank,2
Can you give me directions to the branch closest to me of my bank?,5
I would like to know how to get to the nearest branch.,5
how much would I be able to withdrawal at one time?,7
may i get an appointment with someone at the bank,1
find me a bank close by,5
where can I order checks?,4
i don't know my bank's routing number,8
I need to buy extra checks,4
can you help me order checks.,4
i am in dire need of the routing number for my bank.,8
When does the bank start business each day?,2
how much money will it let you get out at a time?,7
I need to know the routing number for my bank,8
How do I find info on opening a safe deposit box,3
What time will the bank be open?,2
Can you make an appointment at my bank for me?,1
What amount of money do I have?,9
I need to order more checks,4
Please submit a reorder for my checks.,4
Please tell me  where's the nearest bank?,5
What is the closest bank to me?,5
can you show me how to order more checks?,4
where is the nearest branch?,5
How do you go about setting up an appointment at the bank?,1
The bank closes when?,2
what do I do to order more checks?,4
I no longer want or need this account so close it,6
What number do i call for my bank?,0
I want to meet a bank representative.,1
I wanna set up an appointment at the bank,1
What's the limit on my withdraws?,7
a bank representative needs to contact me to set up a time to meet,1
How much money can I get?,7
how high is my at once withdrawal possibility,7
what branch can i get to fastest,5
explain to me how to properly close my account,6
Can you close my bank account?,6
How much money can I take out of the account?,7
How can I close my account at the bank?,6
I need to meet with a bank representative.,1
How do I find a bank convenient to my location?,5
i need information on getting a safe deposit box,3
where can I find an atm,5
Can you help me get a safe deposit box?,3
where can my routing number be located,8
What is the process of getting a safe deposit box?,3
What's thel ocation of an ATM?,5
How do I get more checks in my name?,4
Tell me my balance,9
I would like to make an appointment at the bank please.,1
Do you know my bank's phone number?,0
Tell me the routing number for my bank.,8
How do I go about getting information on getting a safe deposit box?,3
what amount of currency do I have?,9
How can a person close an account?,6
Please tell me how to make a appointment with some at the bank.,1
i'm not sure the amount that is owed,9
where can I get a safe deposit box?,3
Can you assist me in acquiring a safety deposit box at my bank?,3
show me how to get my routing number,8
i'm curious about how to close down my account,6
Could you tell me the hours of my bank?,2
How do I properly close my account?,6
What hour does my bank close?,2
get the phone number for my bank?,0
what do i need to do to close account,6
I would like to receive a safety deposit box at my bank.,3
Can you check my account balance for me?,9
how should i go about ordering more checks,4
Is there a limit for how much I can withdraw at once?,7
Can I close my account?,6
How much money can I take out of my account at one time?,7
how can i access my routing number,8
how long until the bank closes?,2
Help me check my account balance please,9
Could you check my account and tell me how much money is in it?,9
Can you tell me what my bank routing number is?,8
when is the bank open?,2
What is my maximum withdraw?,7
I need some information on getting a safe deposit box please.,3
Where can I get the phone number for my bank?,0
I need to know how to get to the nearest branch.,5
How can I get my routing number from a check?,8
"This account is no longer necessary, close.",6
can i get information on safe deposit boxes?,3
I need to find out how to get a safe deposit box.,3
I would like to speak to the bank manger.,1
Help me to get a safe deposit box,3
Can you tell me what my balance is?,9
What number do i call to get in touch with my bank?,0
Please tell me where i can see my routing number.,8
I would like to figure out my balance.,9
what is the number of the bank?,0
how am I supposed to make an appointment at the bank?,1
Can you tell me how can i set up an appointment at the bank?,1
is there a withdrawal limit?,7
I would like to request information on how to get a safe deposit box.,3
I would like to find out when the bank closes.,2
Tell me how much money I have please.,9
What are the directions to the closest bank branch?,5
"I'm low on cash, I need an atm.",5
what's the phone number for my bank?,0
How do I find my routing number?,8
Can I open a safe deposit box online,3
how many withdrawals can i make,7
how many checks to be ordered,4
I need to make an appointment to talk to someone at the bank.,1
Can I order more checks?,4
Where do I find my balance?,9
i would like to know the phone number of my bank?,0
what is my bank's phone number?,0
how do I close a bank account?,6
Ho can i set up an appointment at the bank?,1
What time do you open and close?,2
what is my total balance?,9
Can you help me figure out how to close one of my accounts at the bank?,6
acquire my banks routing number,8
please check my banks hours,2
What amount can I take out at once?,7
Help me see my account balance?,9
when would I be able to schedule an appointment?,1
Where can I order more checkbooks?,4
Can you show me my bank's hours?,2
can you check my banks hours,2
Do you have safe deposit boxes?,3
please tell me my banks phone number.,0
how can I find my routing number,8
where can I find my routing number?,8
I wanna know the routing number for my bank,8
How do I call my bank?,0
display my balance,9
can i get a safety deposit box at my bank,3
how do i go around getting a safe deposit box?,3
I would like a safety deposit box at my bank.,3
How much money do I have in my account?,9
Do you take appointments?,1
What's the phone number I can call?,0
I just wrote my last check and need to order more.,4
can you find me the banks hours today?,2
I need more checks,4
i'm interested in learning about how to get a safe deposit box,3
Is there a link to getting a safe deposit box?,3
i need to know the routing number of my bank,8
what are the bank hours,2
at what time will the bank close,2
what is my bank's routing number,8
What do I need to close this account?,6
How can I get a hold of my bank?,0
Can I speak with a bank representative?,1
I need to get a safe deposit box,3
Please order more checks.,4
I am glad if you can help me know  how can i close an account?,6
when does the bank open,2
How much money can I withdraw from my budget?,7
What is the process of ordering more checks?,4
Could you let me know my bank's contact number?,0
I need to know what my withdrawl limit is.,7
where do i go to view my current balance,9
Where is the closest branch?,5
What can I do to shut down my account?,6
let's lose that particular account.,6
what's my routing number,8
What's the most I can take out of my account?,7
look up the hours of operation for my bank,2
what can i withdraw,7
Who do I speak to to reorder checks?,4
I need the nearest branch.,5
What number is needed to call my bank?,0
Place an order of checks for me since my checkbook is empty,4
Can you tell me where I check my balance?,9
how long until the bank opens?,2
can I please meet with a bank representative?,1
How long until the bank closes?,2
walk me through the steps needed to close an account,6
is it possible for you to check my banks hours,2
What's the max on a withdrawal?,7
i would like to figure out on how to close the account.,6
what is the first available appointment this week before noon?,1
I need to meet a bank rep in-person,1
Where do I set up an appointment with a bank representative?,1
What is the max one time withdrawl?,7
I need to call my bank.,0
I want to talk to someone at the bank in person.,1
Give me whatever I can withdrawal at one time,7
I would like to know  how can i close an account?,6
how do i shut my account,6
how can i reach my bank via phone,0
Tell me where the nearest bank is.,5
a necessity of mine is to order more checks.,4
What steps should I take to properly close my account?,6
Please order more checks,4
how can i get in touch with a bank rep,1
what is my maximum withdrawal limitation,7
Please forward the bank routing number to me.,8
How do I find my banks routing number?,8
i need to schedule an appointment with a bank rep,1
What is the nearest branches' location?,5
How do i call my bank by phone?,0
Can you tell me how to close out my account?,6
if i need new checks what do i do,4
How's my balance?,9
what are the available times to meet with someone at the bank?,1
what is the location of the closest branch?,5
what is my evacuation limit like?,7
Can you help me close an account?,6
Is there a limit on how much I can withdraw at once,7
I want you to help me  to know How can i check my account balance?,9
Help me set up an appointment at the bank with a person,1
I need a safety deposit box at the bank,3
Please give me the bank's routing number.,8
What are the rules for opening a safety deposit box at my bank?,3
where do I go for my balance,9
what is the status of my account?,9
What are your hours?,2
What are the ways of renting a safe deposit box?,3
do i have a withdrawal limit?,7
what are the steps to getting a safety deposit box at my bank?,3
Close my account.,6
"what if i forget my routing number, how can i find it?",8
Can you tell me what my withdrawal limit is?,7
I wish to know my balance,9
I need to know my closest branch?,5
i want to know how i would get a safe deposit box,3
Close my bank,6
What is my maximum withdrawl at one time?,7
How do I get a safe deposit box?,3
can you provide me the way to get a safe deposit box?,3
give me a balance statement,9
Is there any money I can take out?,7
I want the bank's phone number.,0
I would like to know my withdrawl limit.,7
What is the correct way to close my account?,6
How do I close my account the right way?,6
Can I close my account over the phone?,6
i need help navigating to the branch office closest to me,5
Where is there an atm near me?,5
Can I get more checks from you?,4
What do I need to do to close my account?,6
how can I find my routing number?,8
what is the best way to reach the bank by phone?,0
help me locate the routing number for my bank,8
what do I need to do to close a bank account?,6
How does one get a safe deposit box?,3
Will you help me learn how to check my account balance?,9
I need the routing number of my bank.,8
How low did my balance get,9
How can I check my account balance?,9
how to I shut down a bank account here?,6
do you know if there is a limit for how much I can withdraw at once,7
Issue the number of my bank to me,0
what is my withdrawal limit?,7
What is the best way to find out my account balance?,9
I would need a safety deposit box at my bank.,3
tell me where to find the nearest ATM,5
Please tell me on how to go about getting a safe deposit box.,3
what are banking hours,2
can you help me to know How can i order more checks?,4
no fee atm,5
I need to speak to a teller.,1
what is the location of the closest bank?,5
What is the daily withdrawal limit,7
how do i find my routing number,8
What is the location of the nearest bank?,5
Please let me meet a bank representative,1
